Country,Mean years of schooling,Expected years of schooling,HDI rank
Germany,14.3,17.3,7
Canada,13.9,16,18
Switzerland,13.9,16.6,1
Iceland,13.8,19.1,3
America,13.6,16.4,21
Estonia,13.5,15.9,31
Lithuania,13.5,16.4,38
Israel,13.4,15,25
United Kingdom,13.4,17.6,15
Latvia,13.3,16.6,37
Senegal,2.9,9.1,169
Yemen,2.8,7.9,186
Afghanistan,2.5,10.7,182
Ethiopia,2.4,9.9,176
Guinea,2.4,10.2,181
Burkina Faso,2.3,8.1,185
Chad,2.3,8.2,189
Somalia,1.9,7.6,193
Mali,1.6,7,188
Niger,1.3,7.2,190
